Lat,Long,Date,Speed (m/s),Course,HR,Distance (m)
55.52773867698077,8.34802647521836,2021-10-15T15:34:18+02:00,0.8901708126068115,299.7871113518316,103.0,37457.45190292305
55.52774814986383,8.347985244194762,2021-10-15T15:34:20+02:00,0.9814679622650146,294.26777208732767,103.0,37454.642595350015
55.52775412710854,8.347954306155149,2021-10-15T15:34:22+02:00,1.0500783920288086,290.64875537446136,104.0,37452.578570208854
55.52776546783862,8.347927358808409,2021-10-15T15:34:24+02:00,1.0083999633789062,316.35403571202096,104.0,37450.45955440281
55.527780079183486,8.347905457271521,2021-10-15T15:34:26+02:00,1.0285605192184448,327.02366545979464,104.0,37448.324304318565
55.5278042448556,8.34790198812953,2021-10-15T15:34:31+02:00,0.716465175151825,329.25276599732,104.0,37445.624957193235
55.52780709703151,8.347918478508255,2021-10-15T15:34:46+02:00,0.1619233638048172,2.5234044242379277,104.0,37444.53621732026
55.527703261672684,8.34829929503938,2021-10-15T15:34:49+02:00,0.0,-1.0,113.0,37417.85261175008
55.52771543623463,8.34827614948931,2021-10-15T15:34:51+02:00,0.0,-1.0,113.0,37415.85918670196
55.52771543623463,8.348276233308342,2021-10-15T15:34:52+02:00,0.0,-1.0,113.0,37415.8538933457
55.52775838201167,8.347608715213877,2021-10-15T15:35:28+02:00,0.11098768562078476,302.0615643454458,137.0,37373.42837409705
55.52679111897237,8.34944123325961,2021-10-15T15:37:09+02:00,0.0,-1.0,135.0,37215.34713733218
55.5269827956122,8.346089701479343,2021-10-15T15:37:12+02:00,9.12207317352295,227.60895433640366,135.0,37002.59193469298
55.526974136994056,8.345898099982186,2021-10-15T15:37:13+02:00,9.599430084228516,230.85494709793886,135.0,36990.45207715941
55.52695148643486,8.345676406812167,2021-10-15T15:37:14+02:00,9.599430084228516,235.07372272182397,135.0,36976.224698130005
55.52694751259576,8.345538994574301,2021-10-15T15:37:15+02:00,9.664135932922363,231.6155296431548,135.0,36967.534491707556
55.526861953462806,8.34541628660348,2021-10-15T15:37:16+02:00,12.740962982177734,224.58012060933984,135.0,36955.254334081576
55.526765986346234,8.345276786291583,2021-10-15T15:37:17+02:00,13.527006149291992,223.84304757524708,136.0,36941.40568042071
55.52666991184238,8.345131349163168,2021-10-15T15:37:18+02:00,13.527006149291992,228.37751454257017,136.0,36927.30642546747
55.52658815134846,8.344964663276693,2021-10-15T15:37:19+02:00,13.744203567504883,232.36904977276896,136.0,36913.389025499506
55.52649959529582,8.34478837931284,2021-10-15T15:37:20+02:00,13.744203567504883,233.2583367602393,136.0,36898.517180756644
55.52642512884723,8.344617187044078,2021-10-15T15:37:21+02:00,13.265670776367188,232.6662959629826,137.0,36884.89207678152
55.526304429538705,8.34436429288802,2021-10-15T15:37:23+02:00,13.265670776367188,221.6697460407754,137.0,36864.018545339466
55.52621402847749,8.344224058470386,2021-10-15T15:37:24+02:00,13.137778282165527,223.55472798753718,137.0,36850.61158586658
55.526132249408775,8.344080331745557,2021-10-15T15:37:25+02:00,13.137778282165527,229.0251357768271,137.0,36837.754618016785
55.52605422186836,8.34392199029567,2021-10-15T15:37:26+02:00,13.104379653930664,229.49195188584082,137.0,36824.507682612944
55.52597729151726,8.343767421392084,2021-10-15T15:37:27+02:00,13.81554889678955,222.95427239722304,137.0,36811.520580393044
55.52587957546712,8.343621470326449,2021-10-15T15:37:28+02:00,13.81554889678955,212.55427119712476,137.0,36797.261216483
55.52575680642926,8.343498948752558,2021-10-15T15:37:29+02:00,15.129626274108887,203.5481750028427,137.0,36781.55437506487
55.525623550865774,8.343409959085522,2021-10-15T15:37:30+02:00,16.383821487426758,199.8318554150604,140.0,36765.68961639671
55.52547960944043,8.343338673102792,2021-10-15T15:37:31+02:00,16.44403839111328,194.93664517653394,140.0,36749.043694817105
55.525333186620735,8.34328285519465,2021-10-15T15:37:32+02:00,16.383821487426758,195.33147109169568,140.0,36732.3651296003
55.525186991318634,8.34322387996038,2021-10-15T15:37:33+02:00,16.44403839111328,194.6288905129115,140.0,36715.66796941695
55.52503771613678,8.343164558578902,2021-10-15T15:37:34+02:00,16.832622528076172,194.39675970377945,142.0,36698.631591193945
55.524888471531774,8.343098707745408,2021-10-15T15:37:35+02:00,16.848237991333008,194.81997188513176,142.0,36681.50309406788
55.5247346098008,8.34303445716037,2021-10-15T15:37:36+02:00,16.848237991333008,192.79053143742422,142.0,36663.899073610664
55.5245855655623,8.342979022152287,2021-10-15T15:37:37+02:00,16.798934936523438,192.7645493978215,142.0,36646.94014932686
55.52443949700982,8.34292002303406,2021-10-15T15:37:38+02:00,16.673477172851562,194.3931943450327,142.0,36630.25640779335
55.52430030865061,8.342853140089504,2021-10-15T15:37:39+02:00,16.630990982055664,200.36902247252524,142.0,36614.194671369136
55.52416743252732,8.342763440336938,2021-10-15T15:37:40+02:00,14.70002269744873,205.75621123696774,142.0,36598.35342566255
55.524056778289896,8.34266138260989,2021-10-15T15:37:41+02:00,14.70002269744873,216.16439500369168,142.0,36584.449472387525
55.52396696782278,8.342529346690574,2021-10-15T15:37:42+02:00,13.529072761535645,220.80860945059854,142.0,36571.42938478057
55.52388532209525,8.342391143536233,2021-10-15T15:37:43+02:00,13.148856163024902,225.03425624478868,142.0,36558.8270298811
55.52381222828876,8.342251775786524,2021-10-15T15:37:44+02:00,12.161802291870117,227.24916364921876,142.0,36546.839276162325
55.52374538668906,8.342108410624286,2021-10-15T15:37:45+02:00,12.184979438781738,230.15991706591137,142.0,36535.11876882722
